UserName;Date;Favorites;Retweets;Text
dotasscandal;Fri Apr 10 23:55:24 CEST 2015;2;1;@KarlTurnerMP @David_Cameron Nothing that cannot be funded by a good retrospective "crackdown on tax avoiders"，eh? http://www.taxation.co.uk/taxation/blogs/no-excuse-target-little-guys …
MarkRobotArm;Fri Apr 10 23:54:56 CEST 2015;0;0;. @David_Cameron promise in 2010: "Cut the number of MPs by ten per cent, and cut the subsidies and perks for politicians" Hmmm? #kickhimout
BakeronBusiness;Fri Apr 10 23:54:54 CEST 2015;0;0;PR team of @David_Cameron making a consistent impression with regional newspapers. May not be a good one, though https://davidhiggerson.wordpress.com/2015/04/10/why-is-david-cameron-treating-the-local-press-with-contempt/?utm_source=dlvr.it&utm_medium=twitter …
Mid_SussexCF;Fri Apr 10 23:54:52 CEST 2015;3;2;Enjoyed #campaigning session calling up voters with #SolCampbell for the @Conservatives and @David_Cameron @Team2015! pic.twitter.com/eLcyKoum9e
MarkRobotArm;Fri Apr 10 23:53:42 CEST 2015;0;0;. @David_Cameron in 2010: Promised to "cut ministers’ pay by five per cent and freeze it for five years". How did that work out? #kickhimout
ddavidhealey54;Fri Apr 10 23:52:54 CEST 2015;0;0;@royrodel1 @zenastours @David_Cameron @Conservatives understand they have changed there minds and given the money to millionaires.
kirstynicho;Fri Apr 10 23:52:52 CEST 2015;0;0;@MccabeCJM @WrigleyHowe @cpeedell @David_Cameron @MichaelMcCannMP Exactly! Apparently there is no democracy in Scotland unless you vote Lab
fracarpano;Fri Apr 10 23:52:23 CEST 2015;0;0;Mr @matteorenzi why don't we apply at home the principles of the @David_Cameron NHS Reform that give #betterservices with less #bureaucracy?
youve_been_Jdid;Fri Apr 10 23:48:47 CEST 2015;0;0;Well were expecting a hung parliament so who are the @LibDems gonna crown king this time? @David_Cameron or #EdWillyband
NewsatTwm;Fri Apr 10 23:48:39 CEST 2015;1;2;Interesting: photographer @OxMailHalliwell ejected from Witney hustings attended by @David_Cameron No reason given https://twitter.com/davidhiggerson/status/586643602345828355 …
kirstynicho;Fri Apr 10 23:46:58 CEST 2015;0;0;@MccabeCJM @WrigleyHowe @cpeedell @David_Cameron @MichaelMcCannMP council.Lab/Con have ousted them joining forces. #SNP overuled by 1 seat
_ectaylor;Fri Apr 10 23:46:00 CEST 2015;0;0;Gutted I just missed meeting @David_Cameron in Barnstaple today. However, I did take a picture of the teapot he used pic.twitter.com/dJ9xgTGHMd
amycdubs;Fri Apr 10 23:44:57 CEST 2015;0;7;@dailypostwales @David_Cameron @DarrenMillarAM #savebetsibabies such a sad day today in North Wales for maternity services
kirstynicho;Fri Apr 10 23:43:58 CEST 2015;0;0;@MccabeCJM @WrigleyHowe @cpeedell @David_Cameron sign for MP enquries although parliament has been dissolved
Roger_Sussex;Fri Apr 10 23:41:24 CEST 2015;0;0;@David_Cameron : GE2015 It's NOT a Foregone Conclusion U will be elected as UK Prime Minister ! DON'T COUNT your Chickens before Result !
