,scores,,,,,
744,-1,-1,,,,
745,0,0,,,,
746,0,0,,,,
747,1,1,,,,
748,0,0,,,,
749,-1,-1,,,,
750,0,0,,,,
751,0,0,,,,
752,0,0,,,,
753,0,0,,,,
754,1,1,,,,
755,0,0,,,,
756,-2,-1,,,,
757,0,0,,,,
758,0,0,,,,
759,0,0,,,,
760,1,1,,,,
761,2,1,,,,
762,-1,-1,,,,
763,1,1,,,,
764,0,0,,,,
765,2,1,,,,
766,1,1,,,,
767,-1,-1,,,,
768,1,1,,,,
769,0,0,,,,
770,-1,-1,,,,
771,0,0,,,,
772,-1,-1,,,,
773,0,0,,,,
774,-1,-1,,,,
775,0,0,,,,
776,0,0,,,,
777,0,0,,,,
778,-1,-1,,,,
779,0,0,,,,
780,-4,-1,,,,
781,-2,-1,,,,
782,0,0,,,,
783,0,0,,,,
784,0,0,,,,
785,0,0,,,,
786,0,0,,,,
787,0,0,,,,
788,0,0,,,,
789,1,1,,,,
790,1,1,,,,
791,-1,-1,,,,
792,0,0,,,,
793,1,1,,,,
794,1,1,,,,
795,-1,-1,,,,
796,0,0,,,,
797,0,0,,,,
798,1,1,,,,
799,1,1,,,,
800,1,1,,,,
801,1,1,,,,
802,0,0,,,,
803,1,1,,,,
804,1,1,,,,
805,1,1,,,,
806,0,0,,,,
807,0,0,,,,
808,0,0,,,,
809,1,1,,,,
810,0,0,,,,
811,0,0,,,,
812,0,0,,,,
813,-1,-1,,,,
814,-1,-1,,,,
815,1,1,,,,
816,0,0,,,,
817,0,0,,,,
818,-1,-1,,,,
819,-3,-1,,,,
820,-1,-1,,,,
821,0,0,,,,
822,-1,-1,,,,
823,-1,-1,,,,
824,0,0,,,,
825,1,1,,,,
826,-2,-1,,,,
827,-1,-1,,,,
828,0,0,,,,
829,0,0,,,,
830,0,0,,,,
831,-1,-1,,,,
832,0,0,,,,
833,0,0,,,,
834,1,1,,,,
835,-1,-1,,,,
836,-1,-1,,,,
837,-1,-1,,,,
838,-2,-1,,,,
839,3,1,,,,
840,-1,-1,,,,
841,1,1,,,,
842,0,0,,,,
843,0,0,,,,
844,2,1,,,,
845,0,0,,,,
846,0,0,,,,
847,0,0,,,,
848,0,0,,,,
849,0,0,,,,
850,0,0,,,,
851,-2,-1,,,,
852,1,1,,,,
853,-1,-1,,,,
854,0,0,,,,
855,0,0,,,,
856,1,1,,,,
857,-1,-1,,,,
858,0,0,,,,
859,-1,-1,,,,
860,1,1,,,,
861,-1,-1,,,,
862,0,0,,,,
863,0,0,,,,
864,0,0,,,,
865,2,1,,,,
866,0,0,,,,
867,-1,-1,,,,
868,-2,-1,,,,
869,0,0,,,,
870,0,0,,,,
871,1,1,,,,
872,-1,-1,,,,
873,0,0,,,,
874,0,0,,,,
875,0,0,,,,
876,-1,-1,,,,
