,scores,
1385,0,0
1386,1,1
1387,0,0
1388,-2,-1
1389,0,0
1390,0,0
1391,0,0
1392,2,1
1393,0,0
1394,0,0
1395,0,0
1396,0,0
1397,0,0
1398,0,0
1399,0,0
1400,-2,-1
1401,1,1
1402,1,1
1403,1,1
1404,2,1
1405,1,1
1406,0,0
1407,-1,-1
1408,2,1
1409,1,1
1410,0,0
1411,0,0
1412,0,0
1413,0,0
1414,0,0
1415,1,1
1416,1,1
1417,0,0
1418,1,1
1419,0,0
1420,0,0
1421,0,0
1422,0,0
1423,-2,-1
1424,0,0
1425,0,0
1426,0,0
1427,-1,-1
1428,0,0
1429,0,0
1430,1,1
1431,0,0
1432,-1,-1
1433,0,0
1434,0,0
1435,0,0
1436,0,0
1437,0,0
1438,1,1
1439,0,0
1440,1,1
1441,1,1
1442,0,0
1443,1,1
1444,-1,-1
1445,1,1
1446,1,1
1447,0,0
1448,0,0
1449,0,0
1450,2,1
1451,0,0
1452,-1,-1
1453,1,1
1454,-1,-1
1455,2,1
1456,0,0
1457,-1,-1
1458,0,0
1459,0,0
1460,1,1
1461,1,1
1462,0,0
1463,-1,-1
1464,0,0
1465,0,0
1466,-1,-1
1467,1,1
1468,0,0
1469,0,0
1470,0,0
1471,0,0
1472,0,0
1473,1,1
1474,0,0
1475,0,0
1476,-1,-1
1477,0,0
1478,0,0
1479,0,0
1480,1,1
1481,0,0
1482,0,0
1483,1,1
1484,0,0
1485,1,1
1486,0,0
1487,0,0
1488,1,1
1489,-2,-1
1490,0,0
1491,0,0
1492,1,1
1493,0,0
1494,-1,-1
1495,0,0
1496,0,0
1497,0,0
1498,1,1
1499,1,1
1500,-1,-1
1501,0,0
1502,0,0
1503,0,0
1504,0,0
1505,1,1
1506,-2,-1
1507,0,0
1508,-2,-1
1509,-1,-1
1510,1,1
1511,-1,-1
1512,0,0
1513,1,1
1514,-1,-1
1515,0,0
1516,0,0
1517,0,0
1518,1,1
1519,0,0
1520,-1,-1
1521,0,0
1522,0,0
1523,1,1
1524,1,1
1525,0,0
1526,0,0
1527,-1,-1
1528,0,0
1529,0,0
1530,0,0
1531,-1,-1
1532,-1,-1
1533,1,1
1534,1,1
1535,0,0
1536,0,0
1537,0,0
1538,0,0
1539,0,0
1540,0,0
1541,0,0
1542,-1,-1
1543,1,1
1544,-2,-1
1545,2,1
1546,0,0
1547,0,0
1548,0,0
1549,0,0
1550,-1,-1
1551,0,0
1552,0,0
1553,-2,-1
1554,0,0
1555,1,1
1556,1,1
1557,-1,-1
1558,1,1
1559,0,0
1560,-1,-1
1561,0,0
1562,-1,-1
1563,0,0
1564,-1,-1
1565,0,0
1566,1,1
1567,1,1
1568,1,1
1569,0,0
1570,0,0
1571,0,0
1572,0,0
1573,-2,-1
1574,-1,-1
1575,0,0
1576,0,0
1577,2,1
1578,-2,-1
1579,0,0
1580,0,0
1581,0,0
1582,-1,-1
1583,2,1
1584,0,0
1585,1,1
1586,1,1
1587,0,0
1588,0,0
1589,-2,-1
1590,0,0
1591,0,0
1592,1,1
1593,-2,-1
1594,-2,-1
1595,1,1
1596,-1,-1
1597,0,0
1598,1,1
1599,2,1
1600,0,0
1601,-3,-1
1602,-1,-1
1603,0,0
1604,0,0
1605,1,1
1606,1,1
1607,1,1
1608,0,0
1609,0,0
1610,0,0
1611,2,1
1612,0,0
1613,1,1
1614,0,0
1615,0,0
1616,0,0
1617,-1,-1
1618,-1,-1
1619,-1,-1
1620,-2,-1
1621,0,0
1622,0,0
1623,0,0
1624,0,0
1625,1,1
1626,0,0
1627,0,0
1628,2,1
1629,-2,-1
1630,0,0
1631,0,0
1632,2,1
1633,1,1
1634,0,0
1635,0,0
1636,-2,-1
1637,0,0
1638,0,0
1639,0,0
1640,2,1
1641,1,1
1642,1,1
1643,2,1
1644,0,0
1645,-1,-1
1646,-1,-1
1647,-1,-1
1648,1,1
1649,0,0
1650,1,1
1651,0,0
1652,1,1
1653,-1,-1
1654,-1,-1
1655,1,1
1656,0,0
1657,-2,-1
1658,1,1
1659,0,0
1660,-1,-1
1661,2,1
1662,0,0
1663,0,0
1664,0,0
1665,0,0
1666,0,0
1667,1,1
1668,2,1
1669,0,0
1670,0,0
1671,1,1
1672,0,0
1673,-2,-1
1674,0,0
1675,0,0
1676,1,1
1677,1,1
1678,0,0
1679,1,1
1680,0,0
1681,0,0
1682,-1,-1
1683,0,0
1684,0,0
1685,-1,-1
1686,0,0
1687,0,0
1688,3,1
1689,0,0
1690,-2,-1
1691,0,0
1692,0,0
1693,1,1
1694,1,1
1695,0,0
1696,0,0
1697,2,1
1698,1,1
1699,1,1
1700,0,0
1701,0,0
1702,2,1
1703,-1,-1
1704,0,0
1705,-1,-1
1706,0,0
1707,0,0
1708,0,0
1709,2,1
1710,0,0
1711,0,0
1712,0,0
1713,1,1
1714,0,0
1715,1,1
1716,0,0
1717,1,1
1718,2,1
1719,0,0
1720,1,1
1721,0,0
1722,0,0
1723,0,0
1724,0,0
1725,-2,-1
1726,1,1
1727,0,0
1728,0,0
1729,0,0
1730,-2,-1
1731,1,1
1732,0,0
1733,1,1
1734,1,1
1735,0,0
1736,0,0
1737,-2,-1
1738,-1,-1
1739,2,1
1740,0,0
1741,2,1
1742,-3,-1
1743,-1,-1
1744,0,0
1745,0,0
1746,1,1
1747,0,0
1748,0,0
1749,1,1
1750,0,0
1751,0,0
1752,1,1
1753,0,0
1754,1,1
1755,0,0
1756,1,1
1757,-1,-1
1758,0,0
1759,1,1
1760,1,1
1761,1,1
1762,1,1
1763,0,0
1764,2,1
1765,-1,-1
1766,-1,-1
1767,2,1
1768,0,0
1769,0,0
1770,0,0
1771,-2,-1
1772,0,0
1773,-2,-1
1774,0,0
1775,2,1
1776,1,1
1777,0,0
1778,-1,-1
1779,0,0
1780,-1,-1
1781,0,0
1782,0,0
1783,0,0
1784,0,0
1785,0,0
1786,1,1
1787,0,0
1788,0,0
1789,0,0
1790,0,0
1791,1,1
1792,0,0
1793,-1,-1
1794,0,0
1795,0,0
1796,0,0
1797,0,0
1798,0,0
1799,0,0
1800,1,1
1801,1,1
1802,1,1
1803,0,0
1804,1,1
1805,2,1
1806,0,0
1807,1,1
1808,-1,-1
1809,-1,-1
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,1,1
1818,0,0
1819,0,0
1820,1,1
1821,-1,-1
1822,0,0
1823,1,1
1824,0,0
1825,0,0
1826,0,0
1827,1,1
1828,1,1
1829,1,1
1830,2,1
1831,-2,-1
1832,0,0
1833,0,0
1834,1,1
1835,-1,-1
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,1,1
1841,-2,-1
1842,1,1
1843,-1,-1
1844,1,1
1845,0,0
1846,0,0
1847,-1,-1
1848,2,1
1849,0,0
1850,1,1
1851,0,0
1852,-1,-1
1853,0,0
1854,0,0
1855,1,1
1856,1,1
1857,-2,-1
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,-1,-1
1866,0,0
1867,0,0
1868,0,0
1869,-1,-1
1870,0,0
1871,4,1
1872,0,0
1873,0,0
1874,1,1
1875,0,0
1876,1,1
1877,0,0
1878,0,0
1879,2,1
1880,1,1
1881,0,0
1882,1,1
1883,1,1
1884,0,0
1885,-1,-1
1886,0,0
1887,0,0
1888,1,1
1889,0,0
1890,1,1
1891,-2,-1
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,-1,-1
1900,0,0
1901,0,0
1902,0,0
1903,1,1
1904,0,0
1905,0,0
1906,0,0
1907,-1,-1
1908,3,1
1909,1,1
1910,1,1
1911,0,0
1912,0,0
1913,0,0
1914,1,1
1915,0,0
1916,1,1
1917,1,1
1918,1,1
1919,-2,-1
1920,0,0
1921,1,1
1922,0,0
1923,-1,-1
1924,0,0
1925,0,0
1926,1,1
1927,2,1
1928,0,0
1929,0,0
1930,0,0
1931,1,1
1932,0,0
1933,-1,-1
1934,0,0
1935,1,1
1936,0,0
1937,0,0
1938,2,1
1939,-1,-1
1940,1,1
1941,1,1
1942,1,1
1943,-2,-1
1944,-1,-1
1945,0,0
